funny;posted;last_edited;item_id;helpful;recommend;review;user_id;user_url;sentiment_numeric
;Posted October 31, 2015.;;550;No ratings yet;True;AWESOME;devvonst;http://steamcommunity.com/id/devvonst;2
;Posted February 27.;;220;No ratings yet;True;Hermoso juego que nunca olvidare <3;Fr0stedLine;http://steamcommunity.com/id/Fr0stedLine;2
;Posted June 16.;;34900;No ratings yet;True;It's like Skyrim but with guns :D :D :D10/10;7,65612E+16;http://steamcommunity.com/profiles/76561198085547365;2
;Posted November 16, 2013.;Last edited April 12, 2015.;203290;No ratings yet;True;Downloaded the game.Joined a server.GRENADE!! GRENADE!!Grenade/10 Best Grenade Simulator;ii_voltage_ii;http://steamcommunity.com/id/ii_voltage_ii;2
;Posted October 30, 2011.;;440;No ratings yet;True;AWESOME;2xDelorean;http://steamcommunity.com/id/2xDelorean;2
;Posted July 26, 2014.;;236390;0 of 1 people (0%) found this review helpful;True;GREAT!;euzi;http://steamcommunity.com/id/euzi;2
1 person found this review funny;Posted December 26, 2013.;;10180;2 of 2 people (100%) found this review helpful;True;One of the best.;7,65612E+16;http://steamcommunity.com/profiles/76561198028286104;2
1 person found this review funny;Posted April 22.;;252950;No ratings yet;True;very good;7,65612E+16;http://steamcommunity.com/profiles/76561198151910904;2
;Posted September 15, 2013.;;12900;0 of 2 people (0%) found this review helpful;True;BEST GAYM;pikawuu2;http://steamcommunity.com/id/pikawuu2;2
;Posted July 15, 2013.;;550;1 of 2 people (50%) found this review helpful;True;It's awesome!;3xotic26;http://steamcommunity.com/id/3xotic26;2
;Posted December 28, 2015.;;359320;4 of 5 people (80%) found this review helpful;False;♥♥♥♥♥ charged me 80 now its 15 dollars, got boring after about 5 hours.;7,65612E+16;http://steamcommunity.com/profiles/76561198066046412;0
;Posted July 31.;;400800;1 of 2 people (50%) found this review helpful;False;♥♥♥♥ as ♥♥♥♥ very bad mechanics;7,65612E+16;http://steamcommunity.com/profiles/76561198074935997;0
;Posted November 18, 2014.;Last edited December 3, 2014.;313740;No ratings yet;False;I caught this on sale for $3 and err.... im stuck with it... Well atleast it has fox people in it. Right??(On a side note, the story and soundtrack is absolutely horrible);7,65612E+16;http://steamcommunity.com/profiles/76561198039441595;0
;Posted May 31, 2014.;;8190;No ratings yet;True;Its like a Michael Bay film. Horrible actors + Loads of explosions. 11/10.;7,65612E+16;http://steamcommunity.com/profiles/76561198039441595;0
;Posted June 1, 2014.;Last edited June 1, 2014.;211820;1 of 3 people (33%) found this review helpful;False;Wanted to like it but i just found it boring;Norf_Norf;http://steamcommunity.com/id/Norf_Norf;0
