funny;posted;last_edited;item_id;helpful;recommend;review;user_id;user_url;sentiment_numeric
;Posted October 31, 2015.;;550;No ratings yet;True;AWESOME;devvonst;http://steamcommunity.com/id/devvonst;2
;Posted February 27.;;220;No ratings yet;True;Hermoso juego que nunca olvidare <3;Fr0stedLine;http://steamcommunity.com/id/Fr0stedLine;2
;Posted June 16.;;34900;No ratings yet;True;It's like Skyrim but with guns :D :D :D10/10;7,65612E+16;http://steamcommunity.com/profiles/76561198085547365;2
;Posted November 16, 2013.;Last edited April 12, 2015.;203290;No ratings yet;True;Downloaded the game.Joined a server.GRENADE!! GRENADE!!Grenade/10 Best Grenade Simulator;ii_voltage_ii;http://steamcommunity.com/id/ii_voltage_ii;2
;Posted October 30, 2011.;;440;No ratings yet;True;AWESOME;2xDelorean;http://steamcommunity.com/id/2xDelorean;2
;Posted July 26, 2014.;;236390;0 of 1 people (0%) found this review helpful;True;GREAT!;euzi;http://steamcommunity.com/id/euzi;2
1 person found this review funny;Posted December 26, 2013.;;10180;2 of 2 people (100%) found this review helpful;True;One of the best.;7,65612E+16;http://steamcommunity.com/profiles/76561198028286104;2
1 person found this review funny;Posted April 22.;;252950;No ratings yet;True;very good;7,65612E+16;http://steamcommunity.com/profiles/76561198151910904;2
;Posted September 15, 2013.;;12900;0 of 2 people (0%) found this review helpful;True;BEST GAYM;pikawuu2;http://steamcommunity.com/id/pikawuu2;2
;Posted July 15, 2013.;;550;1 of 2 people (50%) found this review helpful;True;It's awesome!;3xotic26;http://steamcommunity.com/id/3xotic26;2
;Posted January 27, 2011.;;220;No ratings yet;True;2 words friking awesome!!!!!!!!!!!;GamerFag;http://steamcommunity.com/id/GamerFag;2
;Posted December 16, 2010.;;1250;No ratings yet;True;An Awesome co-op survival shooter! BUY IT!!!;GamerFag;http://steamcommunity.com/id/GamerFag;2
11 people found this review funny;Posted May 30.;;428690;14 of 26 people (54%) found this review helpful;True;My mom hates me for not going to school :D;maxpaynepillkiller;http://steamcommunity.com/id/maxpaynepillkiller;2
;Posted October 7, 2015.;;55230;1 of 2 people (50%) found this review helpful;True;Luv It :D;maxpaynepillkiller;http://steamcommunity.com/id/maxpaynepillkiller;2
;Posted December 6, 2013.;;211820;1 of 1 people (100%) found this review helpful;True;One of the best sandbox games ever;Mackus1011;http://steamcommunity.com/id/Mackus1011;2
1 person found this review funny;Posted August 15, 2015.;;219150;1 of 1 people (100%) found this review helpful;True;Best hide and seek sim ever!;assassin_warman;http://steamcommunity.com/id/assassin_warman;2
