funny,posted,last_edited,item_id,helpful,recommend,review,user_id,user_url,sentiment_numeric
,"Posted December 28, 2015.",,359320,4 of 5 people (80%) found this review helpful,False,"♥♥♥♥♥ charged me 80 now its 15 dollars, got boring after about 5 hours.",76561198066046412,http://steamcommunity.com/profiles/76561198066046412,0
,Posted July 31.,,400800,1 of 2 people (50%) found this review helpful,False,♥♥♥♥ as ♥♥♥♥ very bad mechanics,76561198074935997,http://steamcommunity.com/profiles/76561198074935997,0
,"Posted November 18, 2014.","Last edited December 3, 2014.",313740,No ratings yet,False,"I caught this on sale for $3 and err.... im stuck with it... Well atleast it has fox people in it. Right??(On a side note, the story and soundtrack is absolutely horrible)",76561198039441595,http://steamcommunity.com/profiles/76561198039441595,0
,"Posted May 31, 2014.",,8190,No ratings yet,True,Its like a Michael Bay film. Horrible actors + Loads of explosions. 11/10.,76561198039441595,http://steamcommunity.com/profiles/76561198039441595,0
,"Posted June 1, 2014.","Last edited June 1, 2014.",211820,1 of 3 people (33%) found this review helpful,False,Wanted to like it but i just found it boring,Norf_Norf,http://steamcommunity.com/id/Norf_Norf,0
,"Posted December 29, 2013.","Last edited February 5, 2015.",34830,0 of 1 people (0%) found this review helpful,False,very bad,76561198061039259,http://steamcommunity.com/profiles/76561198061039259,0
,"Posted January 24, 2014.",,4000,No ratings yet,True,This is the game that makes me wonder what im doing in life..........10/10!!!!!!!,76561198048024738,http://steamcommunity.com/profiles/76561198048024738,0
2 people found this review funny,"Posted November 13, 2015.",,730,2 of 3 people (67%) found this review helpful,False,Stop looking for bad reviews and buy it already!,76561198165512984,http://steamcommunity.com/profiles/76561198165512984,0
,"Posted July 6, 2015.",,223710,No ratings yet,True,GOTY should be mad asap!!!!!!!!!!!,76561198038840599,http://steamcommunity.com/profiles/76561198038840599,0
1 person found this review funny,"Posted September 27, 2015.",,200260,2 of 3 people (67%) found this review helpful,True,"I found out who killed Bruce Wayne's parents, it was a man...AND HIS NAME IS JOHN CENA!!!!!!!!!!!!!!!!!!!!!!!!!!!",XavvPlays,http://steamcommunity.com/id/XavvPlays,0
,"Posted July 29, 2015.",,304240,2 of 4 people (50%) found this review helpful,True,Resident evil 2 remake... Now.,gatorgolfing,http://steamcommunity.com/id/gatorgolfing,0
,"Posted November 26, 2014.",,305260,No ratings yet,True,boring but a quality time consumer if that makes any sense,sphix,http://steamcommunity.com/id/sphix,0
,"Posted October 15, 2014.",,244850,1 of 1 people (100%) found this review helpful,True,"This, Game, IS AWSOMEE!!!!!",91221301,http://steamcommunity.com/id/91221301,0
,"Posted March 1, 2014.",,247910,No ratings yet,True,"well, the music is ♥♥♥♥ing terrifying ♥♥♥♥",gigantowang,http://steamcommunity.com/id/gigantowang,0
,"Posted March 31, 2014.",,230980,1 of 5 people (20%) found this review helpful,False,Terrible...,privatechristophe,http://steamcommunity.com/id/privatechristophe,0
,"Posted September 19, 2015.",,250260,No ratings yet,True,WTF!?!?! A ROBOT HOOCKER!?!?!,MUSTANGBOI,http://steamcommunity.com/id/MUSTANGBOI,0
,Posted August 24.,,275850,4 of 6 people (67%) found this review helpful,False,Terrible,76561198007041072,http://steamcommunity.com/profiles/76561198007041072,0
,"Posted June 26, 2014.",,207230,No ratings yet,False,very very very very bad,76561198084622842,http://steamcommunity.com/profiles/76561198084622842,0
,"Posted December 27, 2011.",,4000,0 of 1 people (0%) found this review helpful,True,Get this game and spawn 100000 explosive !!!!!!!! with 100000 lags YAY,pf12351,http://steamcommunity.com/id/pf12351,0
,Posted February 12.,Last edited June 17.,730,No ratings yet,False,WTF STEAM GUARD? NOW I CANT EVEN SELL THINGS!!! STUPID STEAM REMOVE THE STEAM GUARD!! ARE YOU TRYING TO MAKE US NOT SELL THINGS?,76561198086462653,http://steamcommunity.com/profiles/76561198086462653,0
,"Posted January 23, 2014.",,212200,2 of 10 people (20%) found this review helpful,False,Worst Game EVER!!!!!!!!!!!!!!!,skylord30,http://steamcommunity.com/id/skylord30,0
,"Posted October 7, 2014.",,313740,1 of 2 people (50%) found this review helpful,True,This game was beutiful in the story aswell as the arts and plus Maeko is my waifu so YOU SHALL NOT PASS!!!!!!!,KewlKatzz,http://steamcommunity.com/id/KewlKatzz,0
,"Posted January 12, 2015.",,222900,No ratings yet,False,Very very very boring,76561198085200257,http://steamcommunity.com/profiles/76561198085200257,0
,"Posted February 1, 2014.",,570,No ratings yet,True,sick!!,76561198038397345,http://steamcommunity.com/profiles/76561198038397345,0
2 people found this review funny,Posted May 16.,,227300,2 of 33 people (6%) found this review helpful,False,"oh my god, this is SOOO boring, now its in the trash where it belongs.",76561198129265482,http://steamcommunity.com/profiles/76561198129265482,0
,"Posted June 19, 2015.",,233450,No ratings yet,True,This game does get addicting as you play it for hours!!!!!,76561198093276380,http://steamcommunity.com/profiles/76561198093276380,0
,Posted February 27.,Last edited July 31.,311210,0 of 3 people (0%) found this review helpful,False,terrible,76561198029589709,http://steamcommunity.com/profiles/76561198029589709,0
,"Posted March 30, 2013.",,440,0 of 1 people (0%) found this review helpful,True,This game is awsome !!!!!,YouAreDedNottaBigSoupPrice,http://steamcommunity.com/id/YouAreDedNottaBigSoupPrice,0
,"Posted June 22, 2014.",,72850,1 of 1 people (100%) found this review helpful,True,Holy crap!,aceofspadesfg,http://steamcommunity.com/id/aceofspadesfg,0
1 person found this review funny,"Posted August 16, 2014.",,218620,4 of 7 people (57%) found this review helpful,False,Its boring as ♥♥♥♥ ♥♥♥♥♥,blackniggers,http://steamcommunity.com/id/blackniggers,0
,"Posted June 29, 2014.",,303390,6 of 13 people (46%) found this review helpful,False,"No, just don't buy it. You will have a terrible time.",this_is_my_link,http://steamcommunity.com/id/this_is_my_link,0
,"Posted January 8, 2015.",,211500,0 of 6 people (0%) found this review helpful,False,cant do anything its really horrible,76561198066363324,http://steamcommunity.com/profiles/76561198066363324,0
,"Posted August 24, 2014.",,319130,3 of 10 people (30%) found this review helpful,False,Boring,76561198099851380,http://steamcommunity.com/profiles/76561198099851380,0
,"Posted July 6, 2012.",,105600,No ratings yet,True,Unicorns are evil,AussieSerpine,http://steamcommunity.com/id/AussieSerpine,0
,"Posted July 7, 2014.",,108600,4 of 4 people (100%) found this review helpful,True,"It's a bit boring, but then again so is this review so who am i to judge.",76561198082591639,http://steamcommunity.com/profiles/76561198082591639,0
,Posted August 28.,,275850,0 of 1 people (0%) found this review helpful,False,boring not what was told we would get,76561198058495935,http://steamcommunity.com/profiles/76561198058495935,0
,"Posted June 30, 2012.",,12430,0 of 1 people (0%) found this review helpful,True,HORRIBLE HORRIBLE HORRIBLE,brat81,http://steamcommunity.com/id/brat81,0
,"Posted December 29, 2015.",,304930,No ratings yet,False,horrible,byrxn,http://steamcommunity.com/id/byrxn,0
,"Posted October 24, 2013.","Last edited December 2, 2013.",10500,0 of 1 people (0%) found this review helpful,True,GRATE GAME!!!!!,Spitfire182GE,http://steamcommunity.com/id/Spitfire182GE,0
,"Posted February 28, 2014.",,17080,8 of 17 people (47%) found this review helpful,False,"EL Juego del todo no esta mal pero hay muchos ingredientes que te quitan las ganas de jugarlo y al momento mientras lo juegas el juego se siente muy cutre de un modo como sus mapas tan sencillos y ya prácticamente la comunidad de este juego esta muerta con menos de 200 Jugadores en ella, puede llegar a ser muy cruel con los novatos ya con el tipo de juego que es un estilo rápido no falta el mini Willyrex del equipo del contrario el cual sabe el arma mas poderosa del juego  pidiendo bombardeos cada 5 segundos ( que los hay ) y te quedas en tu base hasta que acabe la partida en fin el juego es como un proyecto padre e hijo :v",Carlos926,http://steamcommunity.com/id/Carlos926,0
